brand,model,cpu,gpu,gpu_memory,ram,storage,display_specs,battery,webcam,connections,weight,warranty,fingerprint,ssd_support,ram_gb,price_idr,screen_specs,laptop_type
MSI,Titan 18 HX Dragon Edition Norse Myth A2XWJG,Intel Core Ultra 9 285HX,Nvidia GeForce RTX 5090 24GB,24GB GDDR7,96GB DDR5 6400MHz 48GB*2,"6TB, 2TB NVMe PCIe Gen5x4 SSD w/o DRAM + 2TB NVMe PCIe Gen4x4 SSD x2","18"" 16:10 UHD+ (3840x2400), MiniLED, 120Hz, 100% DCI-P3 (Typ.), IPS-Level panel",4-Cell 99 Battery (Whr),IR FHD type (30fps@1080p) with HDR 3D Noise Reduction+ (3DNR+),2x Thunderbolt™ 5 (DisplayPort™/ Power Delivery 3.1) 3x Type-A USB3.2 Gen2 1x SD Express Card Reader 1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz),3.6 kg,2 Year,,Unknown,96.0,127994079,"3840x2400, 120 Hz",Gaming / Creator
MSI,Katana 15 HX 14XWGK,Intel Core i9-14900HX,Nvidia GeForce RTX 5070 8GB,8GB GDDR7,16GB DDR5 8GB*2,1TB NVMe PCIe SSD Gen4x4,"15.6"" QHD (2560*1440), 165Hz DCI-P3 100% typical","4 cell, 75Whr",HD Webcam (720p @ 30fps),1x USB Type-C (USB 3.2 Gen2 / DisplayPort / Power Delivery 3.0) 3x USB Type-A (USB 3.2 Gen2) 1x HDMI 2.1 (8K@60Hz / 4K@120Hz) 1x Mic-in/Headphone-out Combo Jack 1x RJ45 (Gb LAN),2.4 kg,2 Year,,Unknown,16.0,31998120,"2560*1440, 165 HZ",Gaming / Creator
Acer,NITRO V15-ANV15-51-51H9,Intel Core I5-13420H,Nvidia GeForce RTX 4050 6GB,6GB GDDR6,8 GB DDR5-SDRAM,512 GB SSD,15.6'' Inch FHD IPS LED backlight aspect ratio 16:9 refresh rate 144 Hz,57 Wh,,USB 3.2 Gen 1 (3.1 Gen 1) Type-A ports quantity 3 HDMI ports quantity 1 USB 3.2 Gen 2 (3.1 Gen 2) Type-C ports quantity 1 Ethernet LAN (RJ-45) ports 1,,1 Year,,Unknown,8.0,20868078,"1920x1080, 144 Hz",Gaming / Creator
Dell,Alienware 16 Aurora AC16250,Intel Core 7 240H,NVIDIA(R) GeForce RTX(TM) 5050,8 GB GDDR7,"16GB, 2x8GB, DDR5, 5600 MT/s ( 5200 MT/s with Intel Core 5 CP U)",512GB M.2 PCIe NVMe SSD,"16"" WQXGA 120Hz, 300 nits, ComfortView Plus, 1 00% sRGB color gamut","6-Cell Battery, 96 Whr (Integr ated)",,"2 USB 3.2 Gen 1 (5 Gbps) ports 1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with DisplayPort™ 1.4a ports 1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with Power Delivery 1 HDMI 2.1 port with Discrete Graphics Controller Direct Output  1 universal audio jack (RCA, 3.5",2.49 kg,1 Year,,Unknown,16.0,26224421,"2560 x 1600, 120 Hz",Gaming / Creator
Dell,Alienware 16 Aurora AC16250,Intel Core 9 270H,Nvidia GeForce RTX 5060 8GB,8GB GDDR7,"16GB, 2x8GB, DDR5, 5600 MT/s",1TB M.2 PCIe NVMe SSD,"16"" WQXGA 120Hz, 300 nits, ComfortView Plus, 100% sRGB color gamut","6-Cell Battery, 96 Whr (Integrated)","720p at 30 fps HD camera, Dual-array microphones","2 USB Type-A 3.2 Gen 1 Port 1 Type-C® Port (USB 3.2 Gen 2, DisplayPort™ 1.4) (iGPU) 1 Type-C® Port (USB 3.2 Gen 2, DisplayPort™ 1.4a) (iGPU) 1 HDMI 2.1 (dGPU) 1 Power/DC-in Port 1 RJ-45 Ethernet 1 Global headset jack",2.49 kg,1 Year,,Unknown,16.0,35997935,"2560 x 1600, 120 Hz",Gaming / Creator
Dell,Alienware 16 Aurora AC16250,Intel Core 7 240H,Nvidia GeForce RTX 5060,8 GB GDDR7,"32GB, 2x16GB, DDR5, 5600 MT/s",1TB M.2 PCIe NVMe SSD,"16"" WQXGA 120Hz, 300 nits, ComfortView Plus, 1 00% sRGB color gamut","6-Cell Battery, 96 Whr (Integr ated)",,"2 USB 3.2 Gen 1 (5 Gbps) ports 1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with DisplayPort™ 1.4a ports 1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with Power Delivery 1 HDMI 2.1 port with Discrete Graphics Controller Direct Output  1 universal audio jack (RCA, 3.5",2.49 kg,1 Year,,Unknown,32.0,30745951,"2560 x 1600, 120 Hz",Gaming / Creator
Dell,Alienware 16 Aurora AC16250,Intel Core 7 240H,Nvidia GeForce RTX 5050,8 GB GDDR7,"16GB, 2x8GB, DDR5, 5600 MT/s ( 5200 MT/s with Intel Core 5 CP U)",1TB M.2 PCIe NVMe SSD,"16"" WQXGA 120Hz, 300 nits, ComfortView Plus, 100% sRGB color gamut","6-Cell Battery, 96 Whr (Integr ated)",,"2 USB 3.2 Gen 1 (5 Gbps) ports 1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with DisplayPort™ 1.4a ports 1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with Power Delivery 1 HDMI 2.1 port with Discrete Graphics Controller Direct Output  1 universal audio jack (RCA, 3.5",2.49 kg,1 Year,,Unknown,16.0,26224421,"2560 x 1600, 120Hz",Gaming / Creator
HP,Victus 15-fa2318TX,Intel® Core™ i7-13620H,NVIDIA® GeForce RTX™ 3050,6 GB GDDR6,16 GB DDR4-3200 MT/s (1 x 16 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,"39.6 cm (15.6"") diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB","3-cell, 52.5 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 2.1; 1 headphone/microphone combo; 1 RJ-45; 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4a, HP Sleep and Charge) 10",2.29 kg,1 year,,Unknown,16.0,21389793,"1920 x 1080, 144 Hz",Gaming / Creator
HP,Victus 16-r1042ne,Intel® Core™ i7-14700HX,NVIDIA® GeForce RTX™ 4050,6 GB GDDR6,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,16.1''inch FHD,"4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",2.31 kg,1 year,,Unknown,16.0,23285427,"1920 x 1080, 144 Hz",Gaming / Creator
HP,Victus 15-FA2317TX,Intel® Core™ i7-13620H,NVIDIA® GeForce RTX™ 4050,6 GB GDDR6,16 GB DDR4-3200 MT/s (1 x 16 GB) Transfer rates up to 3200 MT/s. 1 x 16 GB,512 GB PCIe® Gen4 NVMe™ M.2 SSD,15.6'' Inch FHD,"4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 2.1; 1 headphone/microphone combo; 1 RJ-45; 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4a, HP Sleep and Charge)",2.29 kg,1 Year,,Unknown,16.0,21602513,"1920 x 1080, 144 Hz",Gaming / Creator
